unit_concept_id,n,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code
8842,677,nanogram per milliliter,Unit,UCUM,Unit,ng/mL
8554,544,percent,Unit,UCUM,Unit,%
8840,377,milligram per deciliter,Unit,UCUM,Unit,mg/dL
8859,229,microgram per milliliter,Unit,UCUM,Unit,ug/mL
8753,173,millimole per liter,Unit,UCUM,Unit,mmol/L
8749,129,micromole per liter,Unit,UCUM,Unit,umol/L
8751,124,milligram per liter,Unit,UCUM,Unit,mg/L
8748,85,microgram per liter,Unit,UCUM,Unit,ug/L
8845,75,picogram per milliliter,Unit,UCUM,Unit,pg/mL
8713,71,gram per deciliter,Unit,UCUM,Unit,g/dL
8843,71,nanomole per milliliter,Unit,UCUM,Unit,nmol/mL
8736,63,nanomole per liter,Unit,UCUM,Unit,nmol/L
8848,57,thousand per microliter,Unit,UCUM,Unit,10*3/uL
8837,53,microgram per deciliter,Unit,UCUM,Unit,ug/dL
8636,51,gram per liter,Unit,UCUM,Unit,g/L
8647,48,per microliter,Unit,UCUM,Unit,/uL
8720,46,microgram per gram,Unit,UCUM,Unit,ug/g
8645,45,unit per liter,Unit,UCUM,Unit,[U]/L
8839,37,micromole per deciliter,Unit,UCUM,Unit,umol/dL
8817,35,nanogram per deciliter,Unit,UCUM,Unit,ng/dL
8701,29,nanogram per gram,Unit,UCUM,Unit,ng/g
8876,24,millimeter mercury column,Unit,UCUM,Unit,mm[Hg]
8985,23,international unit per milliliter,Unit,UCUM,Unit,[iU]/mL
8763,22,unit per milliliter,Unit,UCUM,Unit,[U]/mL
8729,21,picomole per liter,Unit,UCUM,Unit,pmol/L
9648,21,unified atomic mass unit,Unit,UCUM,Unit,u
8810,17,kilounit per liter,Unit,UCUM,Unit,10*3.[U]/L
8816,16,million per milliliter,Unit,UCUM,Unit,10*6/mL
8583,15,femtoliter,Unit,UCUM,Unit,fL
8795,15,milliliter per minute,Unit,UCUM,Unit,mL/min
8923,14,international unit per liter,Unit,UCUM,Unit,[iU]/L
8786,13,per high power field,Unit,UCUM,Unit,/[HPF]
9436,12,thousand per milliliter,Unit,UCUM,Unit,10*3/mL
9557,11,milliequivalent per liter,Unit,UCUM,Unit,10*-3.eq/L
8587,10,milliliter,Unit,UCUM,Unit,mL
8785,10,per cubic millimeter,Unit,UCUM,Unit,/mm3
8862,9,milliosmole per kilogram,Unit,UCUM,Unit,mosm/kg
8555,8,second,Unit,UCUM,Unit,s
8961,8,thousand per cubic millimeter,Unit,UCUM,Unit,10*3/mm3
8980,8,arbitrary unit per milliliter,Unit,UCUM,Unit,[arb'U]/mL
9260,8,arbitrary unit,Unit,UCUM,Unit,[arb'U]
8588,7,millimeter,Unit,UCUM,Unit,mm
8723,7,milligram per gram,Unit,UCUM,Unit,mg/g
8909,7,milligram per 24 hours,Unit,UCUM,Unit,mg/(24.h)
9495,7,electronvolt,Unit,UCUM,Unit,eV
8564,6,picogram,Unit,UCUM,Unit,pg
8577,6,nanometer,Unit,UCUM,Unit,nm
8752,6,millimeter per hour,Unit,UCUM,Unit,mm/h
9529,6,kilogram,Unit,UCUM,Unit,kg
9550,6,milli-international unit per milliliter,Unit,UCUM,Unit,10*-3.[iU]/mL
8523,5,ratio,Unit,UCUM,Unit,{ratio}
8525,5,titer,Unit,UCUM,Unit,{titer}
8576,5,milligram,Unit,UCUM,Unit,mg
8582,5,centimeter,Unit,UCUM,Unit,cm
8725,5,nanogram per liter,Unit,UCUM,Unit,ng/L
9040,5,milli-international unit per liter,Unit,UCUM,Unit,10*-3.[iU]/L
